shape_pt_lon,shape_pt_lat,shape_id,shape_pt_sequence
-79.3027417910801,43.724719558562,1000,32
-79.3014065375725,43.7248484952167,1000,33
-79.2995532977903,43.725177074469,1000,34
-79.2964568909494,43.7259049334831,1000,35
-79.2864424896422,43.7281175705773,1000,36
-79.2800424814506,43.729548254811,1000,37
-79.2761172965704,43.730355079105,1000,38
-79.2719618955682,43.7313199268767,1000,39
-79.2688050569953,43.7320393937621,1000,40
-79.2679302357317,43.7321891083281,1000,41
-79.2645345479321,43.7322390131003,1000,42
-79.6015723893995,43.7300197700707,1002,0
-79.6031839022535,43.7341951434392,1002,1
-79.5987177094866,43.735193197549,1002,2
-79.5942284951075,43.7361746012031,1002,3
-79.5913277719702,43.7368732177329,1002,4
-79.5904529507066,43.737155988773,1002,5
-79.5901306481358,43.7375385592312,1002,6
-79.589693237504,43.7400501567559,1002,7
-79.5886802865672,43.7423786961009,1002,8
-79.5877133788547,43.7430439764223,1002,9
-79.5859637363275,43.7434431410666,1002,10
-79.5850428718395,43.7434431410666,1002,11
-79.583155099639,43.7432102953475,1002,12
-79.5820500622534,43.743260190935,1002,13
-79.579471641687,43.74367598588,1002,14
-79.5764327888765,43.7443412517851,1002,15
-79.5662572362838,43.7468026713517,1002,16
-79.5626658647805,43.7478337764952,1002,17
-79.5572788075256,43.7489147547512,1002,18
-79.5516270017303,43.7501121232611,1002,19
-79.5423147595952,43.7520910548144,1002,20
-79.5361910107498,43.7533548760208,1002,21
-79.5303895644753,43.7544856407932,1002,22
-79.5242427940177,43.7559489517232,1002,23
-79.5192586149763,43.757063039461,1002,24
-79.5177622101833,43.75725426139,1002,25
-79.5165075323183,43.7573789710145,1002,26
-79.5131809093554,43.758085653977,1002,27
-79.5061132744098,43.7596735817151,1002,28
-79.4972039104882,43.7616771372083,1002,29
-79.4943492305753,43.7623172632022,1002,30
-79.4903895132768,43.763830261052,1002,31
-79.4903895132768,43.763830261052,1003,0
-79.4943492305753,43.7623172632022,1003,1
-79.4972039104882,43.7616771372083,1003,2
-79.5061132744098,43.7596735817151,1003,3
-79.5131809093554,43.758085653977,1003,4
-79.5165075323183,43.7573789710145,1003,5
-79.5177622101833,43.75725426139,1003,6
-79.5192586149763,43.757063039461,1003,7
-79.5242427940177,43.7559489517232,1003,8
-79.5303895644753,43.7544856407932,1003,9
-79.5361910107498,43.7533548760208,1003,10
-79.5423147595952,43.7520910548144,1003,11
-79.5516270017303,43.7501121232611,1003,12
-79.5572788075256,43.7489147547512,1003,13
-79.5626658647805,43.7478337764952,1003,14
-79.5662572362838,43.7468026713517,1003,15
-79.5764327888765,43.7443412517851,1003,16
-79.579471641687,43.74367598588,1003,17
-79.5820500622534,43.743260190935,1003,18
-79.583155099639,43.7432102953475,1003,19
-79.5850428718395,43.7434431410666,1003,20
-79.5859637363275,43.7434431410666,1003,21
-79.5877133788547,43.7430439764223,1003,22
-79.5886802865672,43.7423786961009,1003,23
-79.589693237504,43.7400501567559,1003,24
-79.5901306481358,43.7375385592312,1003,25
-79.5904529507066,43.737155988773,1003,26
-79.5913277719702,43.7368732177329,1003,27
-79.5942284951075,43.7361746012031,1003,28
-79.5987177094866,43.735193197549,1003,29
-79.6031839022535,43.7341951434392,1003,30
-79.6015723893995,43.7300197700707,1003,31
